Date	Users1Day	Users7Day	Users30Day
2019-02-17	23	229	884
2019-02-18	44	242	893
2019-02-19	41	227	896
2019-02-20	34	198	897
2019-02-21	37	198	901
2019-02-22	36	196	905
2019-02-23	30	201	908
2019-02-24	13	191	793
2019-02-25	56	207	789
2019-02-26	61	223	813
2019-02-27	57	248	817
2019-02-28	40	250	812
2019-03-01	39	258	820
2019-03-02	29	252	811
2019-03-03	17	258	794
2019-03-04	35	238	792
2019-03-05	45	225	806
2019-03-06	27	198	807
